START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
 -9.9997547726526148E-01 -5.3541360095120683E-01 -1.7308500780160352E-01
 -9.9997547726526148E-01  5.3541360095120683E-01 -1.7308500780160352E-01
  4.9998773863263074E-01 -5.3541360095120683E-01 -8.9580391743628407E-01
 -4.9998773863263074E-01 -5.3541360095120683E-01  8.9580391743628407E-01
  4.9998773863263074E-01  5.3541360095120683E-01 -8.9580391743628407E-01
 -4.9998773863263074E-01  5.3541360095120683E-01  8.9580391743628407E-01
  9.9997547726526148E-01 -5.3541360095120683E-01 -3.1808820286693940E-01
 -9.9997547726526148E-01 -5.3541360095120683E-01  3.1808820286693940E-01
 -9.9997547726526148E-01  5.3541360095120683E-01  3.1808820286693940E-01
  9.9997547726526148E-01  5.3541360095120683E-01 -3.1808820286693940E-01
  0.0000000000000000E+00  1.0708272019024137E+00  4.9117321066854291E-01
  0.0000000000000000E+00 -1.0708272019024137E+00 -4.9117321066854291E-01
  0.0000000000000000E+00 -1.0708272019024137E+00  4.9117321066854291E-01
  0.0000000000000000E+00  1.0708272019024137E+00 -4.9117321066854291E-01
 -4.9998773863263074E-01  0.0000000000000000E+00 -1.0688889252378875E+00
  4.9998773863263074E-01  0.0000000000000000E+00  1.0688889252378875E+00
 -4.9998773863263074E-01  1.0708272019024137E+00 -8.6542503900801759E-02
  4.9998773863263074E-01 -1.0708272019024137E+00  8.6542503900801759E-02
  4.9998773863263074E-01  1.0708272019024137E+00  8.6542503900801759E-02
 -4.9998773863263074E-01 -1.0708272019024137E+00 -8.6542503900801759E-02
 -9.9997547726526148E-01  0.0000000000000000E+00 -6.6425821847014643E-01
  9.9997547726526148E-01  0.0000000000000000E+00  6.6425821847014643E-01
  4.9998773863263074E-01 -1.0708272019024137E+00 -4.0463070676774116E-01
  4.9998773863263074E-01  1.0708272019024137E+00 -4.0463070676774116E-01
 -4.9998773863263074E-01 -1.0708272019024137E+00  4.0463070676774116E-01
 -4.9998773863263074E-01  1.0708272019024137E+00  4.0463070676774116E-01
  9.9997547726526148E-01  0.0000000000000000E+00 -8.0926141353548231E-01
 -9.9997547726526148E-01  0.0000000000000000E+00  8.0926141353548231E-01
  4.9998773863263074E-01  5.3541360095120683E-01  1.0688889252378875E+00
 -4.9998773863263074E-01 -5.3541360095120683E-01 -1.0688889252378875E+00
 -4.9998773863263074E-01  5.3541360095120683E-01 -1.0688889252378875E+00
  4.9998773863263074E-01 -5.3541360095120683E-01  1.0688889252378875E+00
 -9.9997547726526148E-01 -5.3541360095120683E-01 -6.6425821847014643E-01
  9.9997547726526148E-01  5.3541360095120683E-01  6.6425821847014643E-01
  9.9997547726526148E-01 -5.3541360095120683E-01  6.6425821847014643E-01
 -9.9997547726526148E-01  5.3541360095120683E-01 -6.6425821847014643E-01
  4.9998773863263074E-01  1.0708272019024137E+00  5.7771571456934467E-01
  4.9998773863263074E-01 -1.0708272019024137E+00  5.7771571456934467E-01
 -4.9998773863263074E-01  1.0708272019024137E+00 -5.7771571456934467E-01
 -4.9998773863263074E-01 -1.0708272019024137E+00 -5.7771571456934467E-01
  9.9997547726526148E-01 -5.3541360095120683E-01 -8.0926141353548231E-01
 -9.9997547726526148E-01 -5.3541360095120683E-01  8.0926141353548231E-01
 -9.9997547726526148E-01  5.3541360095120683E-01  8.0926141353548231E-01
  9.9997547726526148E-01  5.3541360095120683E-01 -8.0926141353548231E-01
  0.0000000000000000E+00 -1.0708272019024137E+00  9.8234642133708583E-01
  0.0000000000000000E+00  1.0708272019024137E+00  9.8234642133708583E-01
  0.0000000000000000E+00 -1.0708272019024137E+00 -9.8234642133708583E-01
  0.0000000000000000E+00  1.0708272019024137E+00 -9.8234642133708583E-01
  0.0000000000000000E+00  0.0000000000000000E+00  1.4735196320056287E+00
  0.0000000000000000E+00  0.0000000000000000E+00 -1.4735196320056287E+00
  4.9998773863263074E-01  0.0000000000000000E+00 -1.3869771281048271E+00
 -4.9998773863263074E-01  0.0000000000000000E+00  1.3869771281048271E+00
